W0505 05:44:42.031000 6249 torch/distributed/run.py:852] 
W0505 05:44:42.031000 6249 torch/distributed/run.py:852] *****************************************
W0505 05:44:42.031000 6249 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0505 05:44:42.031000 6249 torch/distributed/run.py:852] *****************************************
[Gloo] Rank 1 is connected to 1 peer ranks. Expected number of connected peer ranks is : 1
[Gloo] Rank 0 is connected to 1 peer ranks. Expected number of connected peer ranks is : 1
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 6973.07it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 41943.04it/s]
logs/f76c54c3-c5fe-46b4-8d17-4d9eed580620.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 478, 479, 480, 481, 958, 959, 960, 961, 1438, 1439, 1440, 1441] for warmup
Resetting Model
step:275/1480 train_time:32006ms step_avg:116.39ms
step:276/1480 train_time:32121ms step_avg:116.38ms
step:277/1480 train_time:32239ms step_avg:116.39ms
step:278/1480 train_time:32354ms step_avg:116.38ms
step:279/1480 train_time:32473ms step_avg:116.39ms
step:280/1480 train_time:32589ms step_avg:116.39ms
step:281/1480 train_time:32706ms step_avg:116.39ms
step:282/1480 train_time:32821ms step_avg:116.39ms
step:283/1480 train_time:32939ms step_avg:116.39ms
step:284/1480 train_time:33054ms step_avg:116.39ms
step:285/1480 train_time:33171ms step_avg:116.39ms
step:286/1480 train_time:33286ms step_avg:116.38ms
step:287/1480 train_time:33404ms step_avg:116.39ms
step:288/1480 train_time:33519ms step_avg:116.38ms
step:289/1480 train_time:33636ms step_avg:116.39ms
step:290/1480 train_time:33752ms step_avg:116.39ms
step:291/1480 train_time:33871ms step_avg:116.39ms
step:292/1480 train_time:33987ms step_avg:116.39ms
step:293/1480 train_time:34105ms step_avg:116.40ms
step:294/1480 train_time:34219ms step_avg:116.39ms
step:295/1480 train_time:34336ms step_avg:116.39ms
step:296/1480 train_time:34451ms step_avg:116.39ms
step:297/1480 train_time:34569ms step_avg:116.40ms
step:298/1480 train_time:34684ms step_avg:116.39ms
step:299/1480 train_time:34802ms step_avg:116.39ms
step:300/1480 train_time:34916ms step_avg:116.39ms
step:301/1480 train_time:35034ms step_avg:116.39ms
step:302/1480 train_time:35149ms step_avg:116.39ms
step:303/1480 train_time:35267ms step_avg:116.39ms
step:304/1480 train_time:35381ms step_avg:116.39ms
step:305/1480 train_time:35499ms step_avg:116.39ms
